iteration,reward_mean,length_mean,games,loss
99000,-1.0,2.0,10,"[array(-1.29799049), array(-1.37113943), array(0.07314894, dtype=float32)]"
99500,-0.89,2.11,9,"[array(-1.17792455), array(-1.25941478), array(0.08149023, dtype=float32)]"
100000,-0.88,2.12,8,"[array(-1.28471073), array(-1.36881505), array(0.08410431, dtype=float32)]"
100500,-1.0,2.0,9,"[array(-1.30375287), array(-1.38560273), array(0.08184986, dtype=float32)]"
101000,-1.0,2.0,8,"[array(-1.3462043), array(-1.41456806), array(0.06836376, dtype=float32)]"
101500,-1.0,2.0,10,"[array(-1.273525), array(-1.34351414), array(0.06998914, dtype=float32)]"
102000,-1.0,2.0,9,"[array(-1.30593069), array(-1.38897625), array(0.08304556, dtype=float32)]"
102500,-1.0,2.0,8,"[array(-1.2250636), array(-1.30458727), array(0.07952368, dtype=float32)]"
103000,-1.0,2.0,8,"[array(-1.27836635), array(-1.35227262), array(0.07390627, dtype=float32)]"
103500,-1.0,2.0,9,"[array(-1.28160851), array(-1.35464603), array(0.07303752, dtype=float32)]"
104000,-0.88,2.12,8,"[array(-1.27530837), array(-1.36414656), array(0.08883818, dtype=float32)]"
104500,-1.0,2.0,8,"[array(-1.24016484), array(-1.31579694), array(0.0756321, dtype=float32)]"
105000,-0.88,2.12,8,"[array(-1.2249997), array(-1.30455019), array(0.07955049, dtype=float32)]"
105500,-1.0,2.0,8,"[array(-1.28687857), array(-1.36350645), array(0.07662788, dtype=float32)]"
106000,-0.88,2.12,8,"[array(-1.34082194), array(-1.41217229), array(0.07135035, dtype=float32)]"
106500,-0.78,2.22,9,"[array(-1.1976726), array(-1.2835717), array(0.0858991, dtype=float32)]"
107000,-0.88,2.12,8,"[array(-1.32172843), array(-1.38900869), array(0.06728026, dtype=float32)]"
107500,-0.88,2.12,8,"[array(-1.32251834), array(-1.39683725), array(0.07431891, dtype=float32)]"
108000,-0.9,2.1,10,"[array(-1.22686932), array(-1.31663218), array(0.08976287, dtype=float32)]"
108500,-1.0,2.0,8,"[array(-1.29974238), array(-1.37499856), array(0.07525618, dtype=float32)]"
109000,-0.88,2.12,8,"[array(-1.33806566), array(-1.41715008), array(0.07908442, dtype=float32)]"
109500,-1.0,2.0,8,"[array(-1.31646058), array(-1.37656773), array(0.06010715, dtype=float32)]"
110000,-1.0,2.0,8,"[array(-1.19345121), array(-1.26590711), array(0.0724559, dtype=float32)]"
110500,-0.88,2.12,8,"[array(-1.32929351), array(-1.41012744), array(0.08083393, dtype=float32)]"
111000,-1.0,2.0,9,"[array(-1.28978721), array(-1.37507082), array(0.08528361, dtype=float32)]"
111500,-1.0,2.0,9,"[array(-1.23929005), array(-1.3204093), array(0.08111925, dtype=float32)]"
112000,-1.0,2.0,9,"[array(-1.18740649), array(-1.26281794), array(0.07541145, dtype=float32)]"
112500,-1.0,2.0,8,"[array(-1.18279078), array(-1.2572283), array(0.07443752, dtype=float32)]"
113000,-1.0,2.0,11,"[array(-1.29408845), array(-1.36047942), array(0.06639097, dtype=float32)]"
113500,-1.0,2.0,8,"[array(-1.25773076), array(-1.32485086), array(0.0671201, dtype=float32)]"
114000,-1.0,2.0,9,"[array(-1.28066839), array(-1.3647387), array(0.0840703, dtype=float32)]"
114500,-1.0,2.0,8,"[array(-1.21627787), array(-1.28788253), array(0.07160465, dtype=float32)]"
115000,-1.0,2.0,10,"[array(-1.12794996), array(-1.20594375), array(0.07799379, dtype=float32)]"
115500,-1.0,2.0,10,"[array(-1.16490616), array(-1.25298728), array(0.08808111, dtype=float32)]"
116000,-0.9,2.1,10,"[array(-1.25751175), array(-1.34744064), array(0.0899289, dtype=float32)]"
116500,-1.0,2.0,10,"[array(-1.23379648), array(-1.32106719), array(0.08727071, dtype=float32)]"
117000,-1.0,2.0,8,"[array(-1.28260072), array(-1.35553176), array(0.07293104, dtype=float32)]"
117500,-1.0,2.0,10,"[array(-1.34299281), array(-1.42394251), array(0.0809497, dtype=float32)]"
118000,-1.0,2.0,8,"[array(-1.25094321), array(-1.32803867), array(0.07709546, dtype=float32)]"
118500,-1.0,2.0,10,"[array(-1.29771695), array(-1.37435965), array(0.0766427, dtype=float32)]"
119000,-1.0,2.0,9,"[array(-1.29422954), array(-1.37639979), array(0.08217024, dtype=float32)]"
119500,-0.88,2.12,8,"[array(-1.37007828), array(-1.45697337), array(0.08689509, dtype=float32)]"
120000,-1.0,2.0,8,"[array(-1.27548577), array(-1.349605), array(0.07411923, dtype=float32)]"
120500,-1.0,2.0,9,"[array(-1.25128279), array(-1.31668766), array(0.06540487, dtype=float32)]"
121000,-0.89,2.11,9,"[array(-1.19999422), array(-1.27442214), array(0.07442792, dtype=float32)]"
121500,-1.0,2.0,9,"[array(-1.24785723), array(-1.32975734), array(0.08190012, dtype=float32)]"
122000,-0.88,2.12,8,"[array(-1.31646381), array(-1.39875121), array(0.0822874, dtype=float32)]"
122500,-1.0,2.0,8,"[array(-1.3396513), array(-1.42283001), array(0.08317871, dtype=float32)]"
123000,-1.0,2.0,8,"[array(-1.36464932), array(-1.46762204), array(0.10297272, dtype=float32)]"
123500,-1.0,2.0,8,"[array(-1.12641957), array(-1.19845484), array(0.07203527, dtype=float32)]"
124000,-1.0,2.0,8,"[array(-1.24637053), array(-1.3152484), array(0.06887788, dtype=float32)]"
124500,-1.0,2.0,8,"[array(-1.22416541), array(-1.30007115), array(0.07590574, dtype=float32)]"
125000,-0.89,2.11,9,"[array(-1.30793838), array(-1.38909845), array(0.08116006, dtype=float32)]"
125500,-1.0,2.0,8,"[array(-1.29523659), array(-1.37256654), array(0.07732995, dtype=float32)]"
126000,-1.0,2.0,8,"[array(-1.23559237), array(-1.31254747), array(0.0769551, dtype=float32)]"
126500,-0.88,2.12,8,"[array(-1.27405722), array(-1.35682248), array(0.08276526, dtype=float32)]"
127000,-0.89,2.11,9,"[array(-1.21157801), array(-1.28735759), array(0.07577959, dtype=float32)]"
127500,-1.0,2.0,8,"[array(-1.25135831), array(-1.33323013), array(0.08187182, dtype=float32)]"
128000,-1.0,2.0,9,"[array(-1.30930693), array(-1.37417774), array(0.0648708, dtype=float32)]"
128500,-1.0,2.0,9,"[array(-1.28130932), array(-1.35795043), array(0.07664111, dtype=float32)]"
129000,-0.89,2.11,9,"[array(-1.17313092), array(-1.24843272), array(0.0753018, dtype=float32)]"
129500,-0.88,2.12,8,"[array(-1.22492295), array(-1.31595502), array(0.09103207, dtype=float32)]"
130000,-1.0,2.0,8,"[array(-1.21967606), array(-1.29519431), array(0.07551826, dtype=float32)]"
130500,-0.89,2.11,9,"[array(-1.26840505), array(-1.34818689), array(0.07978185, dtype=float32)]"
131000,-1.0,2.0,9,"[array(-1.24090113), array(-1.31459372), array(0.07369259, dtype=float32)]"
131500,-1.0,2.0,8,"[array(-1.30298188), array(-1.38134901), array(0.07836713, dtype=float32)]"
132000,-1.0,2.0,9,"[array(-1.22477266), array(-1.28922246), array(0.0644498, dtype=float32)]"
